kelompok;kode_kelompok
Divisi Naradamping;1199
Divisi Acara dan Kreatif (Koordinator);2155
Kesekretariatan;1144
Divisi Dokumentasi dan Teknologi Informasi;1188
Divisi Hubungan Masyarakat;1166
Divisi Perlengkapan dan Kesehatan;1177
Divisi Acara dan Kreatif;1155
Panitia Pengarah Mahasiswa;1122
Ketua Pelaksana;2133
Divisi Naradamping (Koordinator);2199
Kesekretariatan (Koordinator);2144
Divisi Perlengkapan dan Kesehatan (Koordinator);2177
Divisi Hubungan Masyarakat (Koordinator);2166
Ketua Panitia Pengarah;3122
Panitia Pengarah Tendik (Koordinator);2122
Divisi Dokumentasi dan Teknologi Informasi (Koordinator);2188
