Date,Open,High,Low,Close,Adj Close,Volume
"May 5, 2025",112.91,114.67,112.66,113.82,113.82,"132,825,600"
"May 2, 2025",114.18,115.40,113.37,114.50,114.50,"190,194,800"
"May 1, 2025",113.08,114.94,111.30,111.61,111.61,"236,121,500"
"Apr 30, 2025",104.47,108.92,104.08,108.92,108.92,"235,044,600"
"Apr 29, 2025",107.67,110.20,107.44,109.02,109.02,"170,444,300"
"Apr 28, 2025",109.69,110.37,106.02,108.73,108.73,"207,708,500"
"Apr 25, 2025",106.85,111.92,105.73,111.01,111.01,"251,064,700"
"Apr 24, 2025",103.48,106.54,103.11,106.43,106.43,"220,815,000"
"Apr 23, 2025",104.52,104.80,102.02,102.71,102.71,"247,526,000"
"Apr 22, 2025",98.78,99.81,97.28,98.89,98.89,"241,004,800"
"Apr 21, 2025",98.77,99.44,95.04,96.91,96.91,"288,501,100"
"Apr 17, 2025",104.45,104.47,100.05,101.49,101.49,"290,833,400"
"Apr 16, 2025",104.55,106.79,100.45,104.49,104.49,"397,016,900"
"Apr 15, 2025",110.97,113.62,110.50,112.20,112.20,"228,966,900"
"Apr 14, 2025",114.11,114.29,109.07,110.71,110.71,"264,705,000"
"Apr 11, 2025",108.50,111.55,107.48,110.93,110.93,"313,417,300"
"Apr 10, 2025",109.37,110.86,99.15,107.57,107.57,"437,812,400"
"Apr 9, 2025",98.89,115.10,97.53,114.33,114.33,"612,918,300"
"Apr 8, 2025",103.81,105.85,94.46,96.30,96.30,"476,243,400"
"Apr 7, 2025",87.46,101.75,86.62,97.64,97.64,"611,041,300"
"Apr 4, 2025",98.91,100.13,92.11,94.31,94.31,"532,273,800"
"Apr 3, 2025",103.51,105.63,101.60,101.80,101.80,"338,769,400"
"Apr 2, 2025",107.29,111.98,106.79,110.42,110.42,"220,601,200"
"Apr 1, 2025",108.52,110.20,106.47,110.15,110.15,"222,614,000"
"Mar 31, 2025",105.13,110.96,103.65,108.38,108.38,"299,212,700"
"Mar 28, 2025",111.49,112.87,109.07,109.67,109.67,"229,872,500"
